medical,simple
This can cause weight loss.,Depression may also cause weight loss.
Septicemic ( or septicaemic ) plague is one of the three main forms of plague.,Septicemic ( or septicaemic ) plague is a deadly blood infection.
Seidl 's sudden death in 1898 from food poisoning at the age of 47 was widely mourned.,Many people were sad when Seidl suddenly died in 1898 from food poisoning at the age of 47.
"Ricketts retired from the Royal Marines on 1 June 1944 because of ill health and died at his home in Reigate, Surrey, on 15 May 1945, after an operation for cancer.","He died at his home in Reigate, Surrey, on 15 May 1945, after an operation for cancer."
Quadriplegia is the common term in North America; tetraplegia is more commonly used in Europe.,Quadriplegia is the common term in North America.
The synthetic utility of Grignard oxidations can be increased by a reaction of Grignard reagents with oxygen in presence of an alkene to an ethylene extended alcohol.,A reaction of Grignards with oxygen in presence of an alkene makes an ethylene extended alcohol.
"Asian Dust ( also yellow dust, yellow sand, yellow wind or China dust storms ) is a meteorological phenomenon which affects much of East Asia year round but especially during the spring months.","Asian Dust ( also yellow dust, yellow sand, yellow wind, or China dust storms ) is a weather occurrence that happens each year."
"However, Byron died on 12 April 2007 after a heart attack and N-Dubz wrote the song `` Papa ( Can You Hear Me ? ) ''","When Byron died, the song N-Dubz wrote `` Papa ( Can You Hear Me ? ) ''"
"Bariatrics is the branch of medicine that deals with the causes, prevention, and treatment of obesity.",Bariatrics is the part of medicine that deals with obesity.
Malaria has several serious complications.,Falciparum malaria has the most complications.
"To reduce pain, heat can be applied to the affected side of the face.",The sufferer can not move the muscles on the affected side of the face.
"Anal cancer is typically an anal squamous cell carcinoma that arises near the squamocolumnar junction, often linked to human papillomavirus ( HPV ) infection.",Anal cancer is mostly a squamous cell carcinoma that rises near the squamocolumnar area.
Methicillin-resistant Staphylococcus aureus ( MRSA ) is a bacterium responsible for several difficult-to-treat infections in humans.,"Methicillin-resistant Staphylococcus aureus, or MRSA, is a bacterium which causes infections in different parts of the body."
"Often, individuals have had one or more major depressive episodes.",They have also had at least one major depressive episode.
Other historical terms include `` breakheart fever '' and `` la dengue ''.,"For example, dengue was also called `` breakheart fever '' and `` la dengue. ''"
A mitochondrion contains outer and inner membranes composed of phospholipid bilayers and proteins.,A mitochondrion contains outer and inner membranes.
A probability density function is most commonly associated with absolutely continuous univariate distributions.,The probability density function is necessary to be able to work with continuous distributions.
Skin abscesses are common and have become more common in recent years.,Sometimes simply sucking out the pus with a needle is not enough. Skin abscesses are common and have become more common in recent years.
"Since amoebiasis is transmitted through contaminated food and water, it is often endemic in regions of the world with limited modern sanitation systems, including Mexico, Central America, western South America, South Asia, and western and southern Africa.Amoebic dysentery is often confused with `` traveler 's diarrhea '' because of its prevalence in developing nations.","Since amoebiasis is transmitted by contaminated food and water, it is often endemic in parts of the world with poor sanitation ( such as Mexico, Central America, western South America, South Asia, and western and southern Africa ).Amoebic dysentery is often confused with `` traveller 's diarrhoea '' because of its prevalence in developing nations."
Several diseases can affect cartilage.,There are many diseases caused by defects in cartilage.
"Littman tentatively attributed the popular imagery to Pavlov 's contemporaries Vladimir Mikhailovich Bekhterev and John B. Watson, until Thomas found several references that unambiguously stated Pavlov did, indeed, use a bell.","Littman tentatively attributed the popular imagery to Pavlov 's contemporaries Vladimir Bekhterev and John B. Watson, until Thomas found several references that clearly said Pavlov did, indeed, use a bell."
"When bacteriophages ( viruses that infect bacteria ) infect a bacterial cell, their normal mode of reproduction is to harness the replicational, transcriptional, and translation machinery of the host bacterial cell to make numerous virions, or complete viral particles, including the viral DNA or RNA and the protein coat.","When bacteriophages infect a bacterial cell, their normal mode of reproduction is to harness the replicational, transcriptional, and translation machinery of the host bacterial cell to make numerous complete viral particles, including the viral DNA or RNA and the protein coat."
Urinary tract infections occur four times more frequently in females than males.,Urinary tract infections are the most frequent bacterial infection in women.
This popular seventeenth century poem describes the plague doctor 's costume.,It describes the plague doctor 's costume.
